Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
106,Escondido,Caribbean,North America,11474,0.066,246012,5963,1,0,1
799,Yarcon,Mediterranean,Eurasia,1783,0.007,2303566,5957,1,0,1
856,Shkumbini,Mediterranean,Europe,2926,0.032,503709,5919,1,0,1
690,Ogooue,Atlantic,Africa,214256,0.024,658838,5853,1,0,1
77,Verde,Pacific,North America,18284,0.012,1302259,5827,1,0,1
1357,Mearim,Atlantic,South America,55600,0.017,915679,5779,1,0,1
1384,Itapicuru,Atlantic,South America,35921,0.017,904092,5706,1,0,1
91,Madre Vieja,Pacific,North America,827,0.105,146599,5611,1,0,1
1442,Negro,Atlantic,South America,113040,0.026,583501,5583,1,0,1
1221,Connecticut,Atlantic,North America,29052,0.007,2285910,5574,1,0,1
652,Seli,Atlantic,Africa,7953,0.035,438748,5531,1,0,1
392,Vamsadhara,Bay of Bengal,Asia,10682,0.009,1723864,5515,1,0,1
650,Great Scarcies,Atlantic,Africa,7821,0.029,509336,5438,1,0,1
525,Mesuji,Java Sea,Oceania,6500,0.047,315412,5419,1,0,1
642,Cacheu,Atlantic,Africa,5924,0.051,288988,5395,1,0,1
700,M'Bridge,Atlantic,Africa,19426,0.045,326762,5391,1,0,1
770,Matigulu,Indian,Africa,843,0.134,110223,5383,1,0,1
910,Ebro,Mediterranean,Europe,84471,0.005,2779046,5352,1,0,1
1352,Itapecuru,Atlantic,South America,52761,0.017,838004,5289,1,0,1
937,Garonne,Atlantic,Europe,55981,0.004,3783482,5277,1,0,1
1418,Ribeira do Iguape,Atlantic,South America,24700,0.017,836098,5277,1,0,1
1427,Cebollati,Atlantic,South America,56182,0.019,743728,5260,1,0,1
1097,Kalar,Gulf of Oman,Eurasia,4953,0.074,193125,5251,1,0,1
681,Mungo,Gulf of Guinea,Africa,4215,0.038,376195,5248,1,0,1
1284,Guadalupe,Gulf of Mexico,North America,26559,0.007,2150958,5246,1,0,1
98,Goascoran,Pacific,North America,2749,0.058,246771,5237,1,0,1
1327,San Juan,Pacific,South America,15329,0.034,425231,5227,1,0,1
432,Chalakudi,Arabian Sea,Asia,1574,0.009,1627903,5208,1,0,1
782,Olifants,Atlantic,Africa,46329,0.134,106536,5203,1,0,1
1311,Demerara,Atlantic,South America,7415,0.224,62596,5123,1,0,1
654,Jong,Atlantic,Africa,7871,0.035,406180,5122,1,0,1
403,Gundlakamma,Bay of Bengal,Asia,8788,0.009,1563285,5001,1,0,1
1355,Jubones,Pacific,South America,4682,0.047,292191,4994,1,0,1
1145,Nelson,Hudson Bay,North America,1008052,0.002,5720700,4985,1,0,1
1218,Merrimack,Atlantic,North America,13040,0.007,2021647,4931,1,0,1
1401,Jequitinhonha,Atlantic,South America,70744,0.017,777414,4906,1,0,1
1399,Pardo,Atlantic,South America,31480,0.017,776323,4899,1,0,1
35,Tecolutla,Gulf of Mexico,North America,7790,0.012,1087558,4867,1,0,1
1039,Mersey,Irish Sea,Europe,2387,0.004,3075516,4802,1,0,1
958,Lielupe,Baltic Sea,Europe,17529,0.021,638687,4784,1,0,1
378,Shetrunji,Arabian Sea,Asia,5612,0.009,1487292,4758,1,0,1
375,Burhabalang,Bay of Bengal,Asia,4693,0.009,1460140,4671,1,0,1
1250,Cape Fear,Atlantic,North America,22841,0.007,1903066,4642,1,0,1
